feature,train_weighted_corr,valid_weighted_corr,single_feature_valid_r2
feature_261,-0.0007073001360878638,-0.006573472484356749,0.8254995225855921
ts_ema20_feature_066,0.00174759102644977,-0.005906922138197701,0.8254995088410173
ts_historical_zscore20_feature_117,-0.001982150220033432,-0.011022555450448793,0.8254994609448303
ts_lag5_feature_073,0.017107116604734563,0.003061982879692806,0.8254994259067114
ts_ema20_feature_059,0.0017317257281404797,-0.005892321388075573,0.8254994138638357
ts_historical_zscore20_feature_062,-0.0036885722937597797,-0.007495896574540497,0.8254993509384806
feature_315,0.0023336569223083507,-0.0005293100993075667,0.8254991556470852
ts_xs_rank_feature_141,0.0015428870868594005,0.008494093935700487,0.825498908789515
ts_ema5_feature_064,0.001630496149995954,-0.005967887730338961,0.8254988930162672
feature_246,-0.0025284637502749965,-0.011296491456521137,0.8254988865450421
ts_ema5_feature_066,0.0015768389014257694,-0.006017003977543935,0.8254987901990449
ts_lag1_feature_064,0.001585150886546547,-0.005992644799336548,0.8254987074246718
ts_ema5_feature_059,0.0015599672371026403,-0.006003282375085277,0.8254986936084743
ts_lag1_feature_066,0.0015304927332255682,-0.006042943931960081,0.8254985970050503
ts_lag1_feature_059,0.001513409457214088,-0.006029480345443847,0.8254985002185671
ts_xs_rank_feature_122,0.002155692770248506,0.007690125341799963,0.825498356443573
ts_historical_zscore20_feature_066,-0.018766873641964273,-0.00881973160870344,0.8254982809797896
feature_311,-0.0007714395236567771,-0.021085422744478333,0.8254982292236402
ts_historical_zscore20_feature_061,0.004857095216607822,0.006297774923231054,0.8254982189551953
feature_065,-0.0025065897644496135,-0.005604557114900389,0.8254979728698373
feature_159,-0.0011003162776101452,0.002433718207262972,0.8254976945087369
ts_historical_zscore20_feature_126,-0.001750268352062402,-0.014732642074870312,0.8254976626108438
ts_minus_ema20_feature_056,-0.013444062727656317,-0.005868018409054949,0.8254976500740479
ts_historical_zscore20_feature_172,0.004846925595888289,0.006397944942919434,0.8254975945171861
ts_lag5_feature_301,0.017052061438444087,-0.0053982556863267,0.8254973990457077
ts_lag5_feature_104,0.01705873845327846,-0.0003482292947419414,0.8254972256599203
ts_ema20_feature_237,-0.0005027748519244446,0.0007501243380679519,0.8254971537062171
ts_xs_rank_feature_198,-0.006996083710244804,-0.007066080596078242,0.8254969619069067
feature_215,-0.003284852318791384,-0.004694507244085984,0.8254968559006017
ts_minus_ema20_feature_225,-0.001550850896604085,-0.007352499849671237,0.8254968466471105
ts_rolling_std20_feature_276,0.001602855299077312,0.027518987638759908,0.8254967939935528
feature_187,-0.00424969055497038,-0.005000813593135109,0.8254967584001578
ts_rolling_std20_feature_117,0.001549726695391451,0.02758087878045462,0.8254966799423133
ts_minus_ema20_feature_198,0.009558318785478987,-0.003434017917577943,0.8254966357575382
feature_219,-0.0018931485266350321,-0.006861097395078367,0.8254965589010979
feature_024,-0.004336153249959839,-0.008325764935980822,0.8254964998955994
ts_lag5_feature_072,0.017170452263179488,0.006836851191883546,0.8254964196085177
feature_237,-0.00042653688876457234,0.0009055374250958135,0.8254964040297126
feature_116,-0.023702135748178067,-0.007570850486971362,0.8254963520015357
ts_rolling_std20_feature_252,0.0033047491089401378,0.010844487074664183,0.8254963496829401
feature_259,-0.0005389151479510718,-0.010305105371018697,0.8254960991355804
ts_xs_rank_feature_010,-0.0014283631675853648,-0.00591475152457354,0.8254960481269892
ts_lag5_feature_074,0.017039171381248518,0.0046426356016154675,0.8254959547998966
ts_xs_rank_feature_041,0.00491718740914479,0.0019851699730944108,0.8254959541565816
ts_minus_ema20_feature_071,0.008510038757486281,0.0001134135069327051,0.8254959284219205
ts_rolling_std20_feature_067,0.004068956615855223,0.012589485530444562,0.8254958247456952
ts_xs_rank_delta1_feature_056,-0.002839246760568404,-0.004548895754967243,0.8254955885110227
ts_ema5_feature_237,-0.00034023448633897443,0.0008627229007575396,0.8254955669631184
feature_223,-0.005570812511635874,-0.005992513629291166,0.8254955261012318
ts_xs_rank_feature_065,-0.002694370967231857,-0.00423747424760627,0.8254954228771474
ts_xs_rank_feature_073,0.0026250526088612285,0.004206958689062623,0.8254953462285206
feature_265,0.0009349321918647614,-0.0008222925188472679,0.8254952834978715
feature_002,0.0009248706195681206,-0.0008031004659894747,0.825495260297308
ts_lag1_feature_237,-0.000303244489602776,0.0008897293087821602,0.8254952052431541
ts_delta1_feature_106,-0.007076597396591036,-0.005086988895246741,0.8254951304081448
ts_delta1_feature_234,0.012876082129568273,0.006975244931825527,0.8254950842044059
feature_123,-0.0003162239807073554,-0.02121093535112265,0.8254948094960481
ts_xs_rank_feature_072,-0.0021760142436870206,0.00010262898352423185,0.8254946775023577
ts_historical_zscore20_feature_080,-0.0026055319547978882,-0.005574938478285769,0.8254946755695938
feature_055,-0.0005199993913975354,-0.0005363215668592276,0.8254944553394791
ts_xs_rank_feature_021,-0.0025590567169657165,0.00387279690483942,0.8254943457720878
feature_074,-0.0004304832419951923,0.004709171921975729,0.825494337223247
ts_xs_rank_delta1_feature_160,0.004685699843935134,0.0037836717816059893,0.8254943348285432
ts_xs_rank_delta1_feature_122,-0.0013049341130337937,-0.005105934474560766,0.8254943138278216
feature_067,0.0002967997964741303,-0.003637223803218838,0.8254943077381306
ts_rolling_std20_feature_141,0.004104068387344969,-0.0011081147345561907,0.8254942941152655
ts_xs_rank_feature_080,-0.001886521109757923,0.0006628088861023899,0.8254942289756102
ts_historical_zscore20_feature_057,-0.0008135457562040574,-0.007570188125121885,0.8254942069920795
